Song Name,Query_0,Query_1,Query_2
Kanye West - Fade (Explicit).mp3,1,1,0
Kanye West - Hurricane.mp3,0,1,1
"Kehlani,Coucheron - Undercover (Coucheron Remix).mp3",0,1,1
Kenzie - Mackenzie Ziegler-Breathe-Nightcore+（Mackenzie Ziegler remix）.mp3,1,0,1
"KEY.L刘聪,c0de731 - MY BOO.mp3",1,1,1
"KEY.L刘聪,c0de731 - 没钥匙的锁.mp3",1,0,1
"KEY.L刘聪,c0de731 - 长沙HOOD.mp3",1,1,1
KnowKnow - R&B All Night (Official Music Video).mp3,1,1,1
"KnowKnow,Higher Brothers - R&B All Night.mp3",1,1,1
Koba LaD - La C.mp3,0,1,1
"KOHH,Okasian,JayAllDay - It G Ma.mp3",1,0,0
"Krewella,Yellow Claw,Taylor Bennett - New World.mp3",0,1,1
L-Yiruma - The Way I Still Love You（抒情版）（翻自 Reynard Silva）.mp3,1,1,1
Last Call - BRAVOTEAM.mp3,1,1,1
"Leessang,赵贤雅 - 행복을 찾아서.mp3",1,1,0
Lianxi.mp3,1,1,1
Lil Nas X - HOLIDAY (Official Video).mp3,1,1,0
Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus.mp3,0,1,1
Lil Nas X - Rodeo (ft. Nas) [Official Video].mp3,1,0,1
LIL XAN - Xanarchy.mp3,1,1,1
Logic - Dear God.mp3,0,0,1
Lopu$ - D a n c e   D a n c e.mp3,1,1,1
Lopu$ - So Cute~.mp3,1,1,1
loveboi - dolce & gabbana.mp3,1,1,1
Luna Shadows - Cry Wolf.mp3,1,1,1
Luna Shadows - Jesus Christ.mp3,1,0,1
Luna Shadows - Tokyo.mp3,0,0,1
Maga AQ - Decepticons.mp3,1,1,1
Maga AQ - Weyrleader.mp3,1,0,0
Makauli - -Não Vacila（Makauli Remix）.mp3,1,0,1
Mariah Carey - All I Want for Christmas Is You (Make My Wish Come True Edition).mp3,1,1,1
Meek Mill - CoCo Part 2.mp3,1,1,0
Mercedes Benz - 不够-收敛（抖音版）（果栗程 remix）.mp3,1,1,1
Michael Jackson - Smooth Criminal.mp3,1,1,1
Mike Will - Scooby Doo Pa Pa (Mike Will Remix).mp3,0,1,1
Morello Malt - F. Physical-La Banda（Matt Hanna Bootleg）（Morello Malt remix）.mp3,1,1,1
MY FIRST STORY - We Are Never Ever Getting Back Together(Taylor Swift Cover).mp3,0,0,1
"MYRNE,Linying - Silver City.mp3",1,1,1
"Neon Tribe,Katelyn Tarver - Planez (Neon Tribe Remix).mp3",1,0,1
NIKI - Say My Name.mp3,1,1,1
Nocturne - Secret Garden - Norway 1995 - Eurovision songs with live orchestra.mp3,1,1,0
Omah Lay & Justin Bieber - Attention (Official Music Video).mp3,1,1,1
"Osho,Shiloh - Lie Low.mp3",1,1,0
Paula DeAnda - Why Would I Ever.mp3,1,1,1
Pawl - Your Love Shot Me Down (Radio Edit).mp3,1,1,0
Piko-taro - Pen Pineapple Apple Pen (Trap Remix).mp3,0,1,0
Playboi Carti - What.mp3,1,1,0
Plies - Baking Soda (Feat. Tyga).mp3,0,0,1
"Powfu,Kuzu Mellow - met at a party.mp3",1,1,1
Pre'Melo - 춤춘다 (I Like U).mp3,1,1,1
Prze丶 - 失眠症(불면증)（Cover 辉星）.mp3,1,1,1
"PØRPEL,Marcus & Martinus - Heartbeat (Nightcore) [PØRPEL Remix].mp3",1,1,1
Rich Brian - 100 Degrees.mp3,0,1,1
Rich Brian - Long Run.mp3,1,1,0
Rich Brian - Love In My Pocket.mp3,1,0,1
"Rich Brian,RZA - Rapapapa.mp3",1,0,0
RincolF - ハレハレヤ（翻自 v_flower）.mp3,0,1,1
RonyEDM - Original Mix - Gucci Gucci（RonyEDM remix）.mp3,1,1,1
Rook1e - what can i do.mp3,1,0,1
Russ - HANDSOMER (Extended Remix) (Feat. Ktlyn).mp3,1,1,1
Russ - Losin Control (Official Video).mp3,1,1,1
Russ - What They Want (Official Video).mp3,1,1,1
Salder4cash - 【FREE】lucky.mp3,1,1,1
"San Holo,Snoop Dogg,Dr. Dre - The Next Episode (San Holo Remix).mp3",1,1,1
"Sean Turk,Phil Good - Sleeping In (Sean Turk Remix).mp3",1,1,1
"Shawn Mendes, Camila Cabello - Señorita.mp3",1,1,1
"Sigma,Paloma Faith - Changing [Goldsmyth Edition].mp3",1,0,1
"SIIN,KREAM - Taped Up Heart (SIIN Remix).mp3",1,0,0
"Sing, R. Sing! - 幼女幻奏.mp3",1,0,1
Slushii - Make Me Feel.mp3,1,1,1
Slushii - Past Lives.mp3,1,0,1
Snigellin - Sakura Tears.mp3,1,1,1
SNØW - Sunset／Sunrise (Prod. Kendo).mp3,1,1,1
SoulChef - Wine.mp3,1,1,1
Stephen - Crossfire.mp3,0,1,1
Stwo - Lovin U.mp3,1,0,1
"Tayler Buono,Dreyer,Aukdal - Sorry (Dreyer x Aukdal Chillout Remix).mp3",1,1,0
"The Clarstone,Amy Winehouse - Rehab (The Clarstone Remix).mp3",1,1,1
"The Kid LAROI, Justin Bieber - STAY (Official Video).mp3",1,0,1
The Weeknd - Blinding Lights (Official Video).mp3,1,1,1
The Weeknd - Out of Time (Official Video).mp3,0,1,1
The Weeknd - Sacrifice (Official Music Video).mp3,1,1,1
The Weeknd - Save Your Tears (Official Music Video).mp3,1,0,1
The Weeknd - Starboy ft. Daft Punk (Official Video).mp3,0,1,1
TheFatRat - Unity.mp3,0,0,1
"thomeboydontkill,brokeboiishawty,nightboitheflash - 太极（Tai Ji）.mp3",1,1,1
"Tom Budin,ZAYN - Like I Would (Tom Budin Remix).mp3",0,1,1
Trackformerz - Call of the ambulance.mp3,1,1,1
Travis Scott - BUTTERFLY EFFECT (1).mp3,1,1,1
Travis Scott - Butterfly Effect.mp3,0,1,0
Travis Scott - Drugs You Should Try It.mp3,0,0,1
Travis Scott - goosebumps ft. Kendrick Lamar.mp3,1,1,1
Travis Scott - HIGHEST IN THE ROOM (Official Music Video).mp3,1,1,1
Travis Scott - Uber Everywhere (Remix).mp3,0,0,0
Tropkillaz - MAMBO.mp3,1,1,1
"TroyBoi,Nefera - On My Own.mp3",1,1,1
TØm - Charlie Puth-Betty Boop (TØm Bootleg)（TØm remix）.mp3,1,0,1
UZ - Trap ＊＊＊＊ V22.mp3,1,1,1
"Vicetone,Popeska,Luciana - The New Kings.mp3",1,1,1
Vinida (万妮达) - Colorful World.mp3,1,1,1
WJ - Gotye-一曲肝肠断，天涯何处寻觅知音Somebody That I Used To Know（WJ remix）.mp3,1,1,1
YdragonZ - People of the World-(Marvin & Andrea Prezioso Mix2)（YdragonZ remix）.mp3,1,1,1
Young Nudy - _Hell Shell_ OFFICIAL VERSION.mp3,1,1,1
"Yunomi,nicamoq - インドア系ならトラックメイカー.mp3",1,1,1
"ZAVIS,HomieYe_Music - Glory.mp3",1,1,1
Zayion McCall - Where Are You Now？.mp3,0,1,0
ZHU - Dreams.mp3,1,0,1
[MP3DOWNLOAD.TO] Vitas - Dedication 奉獻完整版(最完美的音質+ 超完美的海豚音)-320k.mp3,1,0,1
《中國有嘻哈 精彩回顧》PGONE 60秒《萬磁王》.mp3,1,0,1
【PGONE】新歌《语音备忘录》完整版 Lyric Video.mp3,1,1,1
ステレオポニー - ツキアカリのミチシルベ (TV size).mp3,0,0,1
东皇落笙 - 无言陷七情.mp3,0,0,1
中原めいこ - Cloudyな午後.mp3,1,1,1
中西亮輔 - 愉悦.mp3,1,1,0
"他们叫我老曹,于嘉贝 - 病变BINGBIAN(Remix)（翻自 Cubi ／ Fi9江澈）.mp3",1,0,1
"任昌丁,金昌烈 - 문을 여시오 (New Ver.).mp3",1,1,0
光光 - All I have.mp3,1,1,1
"卡门,青年海伦 - 杀死那个石家庄人（公路之歌）（翻自 万能青年旅店）.mp3",1,1,1
司南 - 烟雨行舟（原唱：伦桑）.mp3,1,0,0
周杰倫 Jay Chou【夜曲 Nocturne】-Official Music Video.mp3,1,1,1
和田薫 - 時代を超える想い2.mp3,1,1,1
嘉子KAKO - Симпа（翻自 Райм & Артур）.mp3,1,0,1
嘻笑堂 - KILL THE ONE.mp3,1,1,1
嘻笑堂 - 《湮灭辉飞》.mp3,1,0,0
嘻笑堂 - 不到三分钟的热度.mp3,1,1,0
嘻笑堂-Sensitive.mp3,1,1,1
圣诞Ye.mp3,1,1,0
坂本昌一郎 - 思い出をありがとう.mp3,1,1,1
"増田俊郎,织风结 - 鬼火の童・鬼切、虎徹にございます!.mp3",1,1,1
"大籽,Lil E,A1 TRIP - 放空.mp3",1,1,0
宋立伟 - 放个大招给你看.mp3,1,0,1
小班圆妹妹 - 典狱司（吉他弹唱）.mp3,0,0,1
小胡仙儿 - 神经病之歌 (二胡).mp3,0,1,0
少女时代 - Into The New World.mp3,1,1,1
张基河和脸孔们 - 그 남자 왜.mp3,1,1,0
悠 - Flos（翻自 R Sound Design）.mp3,1,0,1
愉先生 - Sia-Dusk Till Dawn（愉先生 remix）.mp3,1,1,1
我也不知道叫什么喔 - Zombie(Remix).mp3,1,1,1
戴帽子的男同学 - あい し て る darling.mp3,1,1,0
房子帆 - 坠.mp3,0,1,0
李森茂 - sunflower（指弹吉他）（翻自 孙培博）.mp3,1,1,1
李瑨瑶 - 小宇（女声吉他弹唱）（翻自 张震岳）.mp3,1,0,1
林芬宇 - 安和桥间奏（纯音乐）.mp3,1,1,1
柳轻颂 - 向日葵.mp3,1,1,1
梦飞船 - 不值得.mp3,1,1,1
汪莹蛟(OFF2JO) - 钻石眼泪.mp3,1,1,1
浅绯色的喵 - Experience(钢琴演奏版)（翻自 Ludovico Einaudi）.mp3,1,0,1
火影忍者 - 铠甲勇士.mp3,1,1,1
王以太 - Sorry.mp3,0,1,1
王以太 - 三思而后行.mp3,1,1,1
王以太 - 人间天堂.mp3,1,1,1
王以太 - 目不转睛 (Live).mp3,1,1,1
王以太 - 童言无忌 (Live).mp3,0,1,0
王以太 - 阿司匹林.mp3,1,1,1
"王力宏,谭维维 - Bridge of Faith.mp3",1,0,1
王贰浪 - 愿你余生漫长.mp3,1,1,0
"王闻,童丽 - 爱的故事上集.mp3",1,0,1
电音群星 - The cranberries-Zombie (Kapral Remix) (YahikoNy remix).mp3,0,1,0
程思佳 - 电影情圣：我在人民广场吃炸鸡.mp3,0,0,0
空匪 - Darling.mp3,1,1,1
群星 - 谢谢你的爱 (川话版).mp3,0,1,0
"羽生まゐご,v flower - ハレハレヤ.mp3",1,1,0
"艾热 AIR,李佳隆 - 星球坠落 (Live).mp3",1,1,1
花篱千 - love9（低沉温柔版）.mp3,1,1,1
萌萌萌 - 盗将行.mp3,1,1,1
蒋小呢 - 给你呀（又名：for ya）.mp3,0,1,1
蔡徐坤 - 情人.mp3,0,1,1
调式中的和玄 - 玫瑰少年（巡演小提琴版）（翻自 蔡依林）.mp3,1,1,1
轶 - 日不落（温柔版）.mp3,1,1,1
那个男人 - 你我.mp3,1,1,1
野生三十 - Any Song (아무노래).mp3,0,1,1
金日辉 - Beautiful（鬼怪ost）.mp3,1,1,1
"金田朋子,松岡由貴,樋口智恵子 - つくりましょう!.mp3",0,1,1
"陈冠希,陈奂仁,胡蓓蔚 - 战争.mp3",1,1,1
陶喆 - Melody(Live).mp3,0,1,0
陶喆 - 普通朋友 (Live).mp3,0,1,1
陶辚竹 - 金枝欲孽 (咏叹调).mp3,1,1,1
雄鹰高飞 - 想你想你（翻自 Fifth Harmony、Kid Ink）.mp3,1,1,1
音浪 - Deepside Deejays-Never Be Alone（音浪 remix）.mp3,0,1,1
"颜人中,VaVa毛衍七 - 祝你爱我到天荒地老.mp3",1,0,1
马思唯 - Hip-Hop Saved My Life.mp3,1,1,1
马思唯 - REFRESH.mp3,0,0,0
马思唯 - 为什么.mp3,1,1,1
马思唯 - 卖火柴的小女孩.mp3,1,1,1
马思唯 - 豆瓣酱.mp3,1,1,0
"马思唯,Higher Brothers - 跑得脱马脑壳.mp3",1,1,1
"马思唯,Higher Brothers - 黑马王子.mp3",1,1,1
"马思唯,KnowKnow - V5奥利给.mp3",1,1,1
"马思唯,step.jad依加,Higher Brothers - 花花公子 (feat. step.jad).mp3",1,1,1
량현량하 - 학교를 안갔어!.mp3,1,1,1
